Assay	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
H-9PT-1	50.080227	34.112278	37.759241	29.116993	35.962687	36.035282	29.715842	31.859767	54.137219	42.116957	36.670604	36.511251	28.543777	11.504921	18.471538	14.345832	19.056045	20.718031	14.382607	12.391279	10.479163	9.196117	8.509799	16.12765	17.06065	13.18413	9.461673	11.966876	16.204207	14.6025	18.415875	14.443181	23.288336	9.94248	13.376795	11.985331	26.565106	17.961511	12.571624	15.597459	24.798608	39.896547	14.046671	24.151837	22.577119	11.975758	15.642563	13.497705	33.906379	47.274556	15.274551	21.830261	54.698015	32.434888	26.370484	30.956306	70.665013	30.843924	27.79369	35.040407	82.819257	90.469669	63.875899	52.743664	74.745634	89.494783	43.196441	58.045284	59.306467	54.997721	51.95735	65.215497	13.740018	23.546841	19.676969	18.822698	14.073118	14.899363	19.014669	16.001026	23.049365	30.401713	20.173754	20.559036
H-9PT-2	10.28682	9.44562	8.474623	7.496866	9.244627	8.426946	8.653178	9.90482	11.201648	8.595447	7.347931	6.688422	7.065492	3.660354	5.29928	6.300298	6.914322	7.781377	6.80933	6.560692	7.981464	3.857848	3.35005	4.307641	6.910689	6.584057	4.176893	7.374589	8.769798	6.558757	11.98168	7.238493	11.023603	5.977749	5.697793	4.248822	7.450754	4.815236	4.395657	5.689135	7.306963	9.824149	6.418295	9.598854	9.62482	4.759866	5.642608	4.455667	12.458075	12.967376	6.659442	11.829662	14.996406	8.590773	13.621974	8.404946	16.936759	7.576838	7.929008	8.655217	17.012813	11.896337	13.941184	14.055135	18.602735	15.251621	13.609894	16.395046	15.162393	12.009927	15.725823	13.841947	6.508948	8.709925	7.749135	9.387692	5.649703	5.580377	9.144588	5.786534	7.207512	4.839723	7.090765	4.980755
H-9PT-3	25.599781	14.80977	16.678735	13.051016	17.385346	16.008934	15.434641	15.791801	33.770315	15.767965	17.871507	17.030664	13.919827	6.93252	9.794863	9.439562	11.240227	12.009027	9.63883	11.617825	9.999351	6.634674	6.594125	9.56199	12.230993	10.5273	7.324114	10.617979	11.813502	10.579907	13.075447	10.916847	15.986861	8.942117	9.770687	7.928277	14.238908	11.135378	8.23705	10.698745	15.26434	20.654977	10.240071	14.041916	14.702112	8.186866	9.976053	9.257947	19.708977	23.771633	10.132816	14.554528	23.490506	17.653681	19.510348	16.798547	31.256243	17.136293	16.528052	20.87352	38.670237	32.911186	31.01375	25.812746	35.427536	41.651516	20.104025	28.130805	29.966428	29.1723	26.481209	34.950636	11.740884	15.688737	17.110226	15.077856	11.807373	12.241513	16.087434	12.130312	16.101677	15.305393	13.573382	13.742267
H-9PT-4	1.832894	1.844195	1.586771	1.438089	1.806915	1.566482	1.652749	1.727801	2.449676	1.426539	1.640654	1.47344	1.285505	0.795281	1.179084	1.114134	1.400227	1.63775	1.279768	1.08854	1.177562	0.82193	0.648877	0.980634	1.302208	1.059196	1.000333	1.019937	1.426075	1.342515	1.592696	1.034438	2.15671	1.0181	1.040264	0.935665	1.483405	1.026655	0.835516	1.159292	1.433759	2.218684	1.148036	1.733163	1.543409	0.999206	1.233386	0.92191	2.184118	2.211266	1.267605	1.519846	2.551596	2.028511	2.154051	1.373353	3.754997	1.762671	1.565439	1.822654	4.586096	3.262287	3.592627	2.192679	3.688501	3.299308	2.531666	4.002035	2.880415	2.678725	2.710701	3.258291	1.25209	1.672921	1.47351	1.698773	1.045127	1.269339	1.722286	1.249303	1.774618	1.224299	1.347553	1.207562
H-9PT-5	49.279724	47.488624	46.342423	36.066176	47.494954	45.1659	42.210219	39.400465	61.783342	41.037332	45.95166	41.613391	38.561212	27.054401	30.531342	36.744512	43.505984	47.861232	36.242847	31.332178	35.240566	22.843286	21.439903	40.430978	39.508644	33.928047	23.622596	35.567781	39.404554	36.521512	53.271141	33.342237	59.410826	29.182717	31.384465	29.702175	48.098867	32.516116	25.307076	37.046503	52.0048	64.31361	34.441625	52.240025	46.992477	26.867804	32.743149	28.325201	67.468352	68.157138	37.331618	47.822907	75.971352	60.64547	62.390635	48.049372	105.094705	45.180466	46.91163	62.339346	134.013172	84.096153	112.281592	71.354009	114.640576	100.464584	77.276842	116.982456	91.466676	78.412039	84.323531	96.586449	30.496997	39.011944	34.246256	41.806999	27.668807	29.564017	41.135392	30.356468	41.843071	40.830965	31.67187	29.28301
H-9PT-6	15.170337	11.858778	11.525138	9.347489	12.147499	11.951522	10.556811	11.882373	18.334386	12.43811	11.092905	10.254811	9.903713	4.967501	7.491401	6.918794	8.831606	9.30128	7.350858	7.581987	7.779486	4.618636	4.307205	7.475127	8.545101	6.923565	4.649297	7.169455	9.587508	7.451719	11.070938	8.064122	12.645265	5.827731	6.535735	5.53767	10.985534	7.712307	5.655103	7.757999	11.575078	16.358308	7.040816	11.351322	10.518331	5.743122	7.034804	6.253149	14.921843	18.018933	7.737623	11.080319	19.104784	13.590314	15.84593	12.660753	25.392596	11.712707	11.245922	13.787671	31.806757	30.922695	25.427005	20.357422	28.979288	31.709963	17.188019	26.903726	24.772664	20.32848	22.443767	23.682919	7.060013	10.124983	9.738771	10.909987	6.193144	6.772921	10.154942	7.207641	10.074068	8.988218	8.261847	7.679935
H-9PT-7	9.72735	8.029247	7.186454	6.61542	8.004143	7.99506	7.517736	8.351552	11.005474	7.927941	7.29087	6.235623	7.074413	4.147286	5.510454	6.458819	7.482602	8.449456	6.297384	6.895855	7.745836	3.979053	3.672598	6.066185	7.252609	6.257155	4.120653	6.568656	8.213606	6.495669	9.559908	6.684149	11.139938	5.620188	5.842589	4.940321	7.880642	5.73799	4.347581	6.607665	9.066481	11.238367	6.495567	9.41748	8.549215	4.917815	5.873552	5.138407	12.891802	12.859714	6.860902	9.593422	14.391469	11.059216	13.867691	9.574902	18.764095	8.774725	8.395217	10.492358	24.106974	20.432097	20.0097	15.445623	20.769833	19.602557	13.407591	21.476943	17.810534	14.398142	16.379744	16.82986	6.864466	9.163788	9.103068	9.932853	6.385513	6.461026	9.661235	6.860712	9.504216	7.865613	7.350045	6.466561
H-9PT-8	9.572633	8.12733	7.172984	6.349625	8.176264	8.070902	7.405173	8.354669	10.637915	7.935091	7.340411	6.30325	7.023305	3.968497	5.393808	6.203046	7.229769	7.959647	6.19519	6.570242	7.416599	3.845542	3.396984	5.981474	7.173171	6.036074	3.976287	6.722629	8.282935	6.585799	9.662009	6.584654	10.728823	5.471193	5.504726	4.812335	7.55561	5.544482	4.080916	6.303182	8.710903	10.642735	6.291054	9.319574	8.323305	4.540288	5.668878	4.650906	12.473934	12.596777	6.5557	9.658319	14.663899	10.51765	13.83582	9.201047	18.027058	8.417174	7.97118	10.353754	22.609577	19.809583	19.028835	15.597999	20.068455	18.202135	13.188958	20.843241	16.50888	13.282101	15.964533	16.030924	6.877594	9.297399	8.993392	10.195939	6.078446	6.466467	9.46977	6.565378	8.837896	8.056411	7.152047	6.09451
H-9PT-9	8.307581	7.004162	6.19534	5.134427	6.879305	7.320877	6.350105	6.586848	11.110411	6.983813	6.120241	5.379508	6.527041	3.412989	5.166415	5.326865	6.524651	6.762291	5.238886	5.394225	6.006649	3.182861	3.17659	5.526359	5.574231	4.879931	3.110998	5.237864	7.107967	5.290513	8.17795	5.734543	8.605475	4.066201	4.463388	3.91558	7.149745	4.826848	3.786882	5.355293	7.748412	10.217353	5.023788	8.330756	7.137426	3.762855	4.785278	4.280867	9.798683	11.319331	5.129966	7.789324	12.886524	9.08332	11.104456	8.097286	16.986526	7.277707	7.136179	9.346761	21.596165	20.094252	18.003675	13.87762	20.134582	19.419199	11.95694	19.874875	16.211621	12.497251	14.352661	15.163256	4.731039	7.326878	6.959758	7.816441	4.460463	4.80362	6.951807	5.054501	7.016257	6.19018	5.50389	5.073057
S-9PT-1	59.198121	47.495542	55.299384	52.029573	49.144247	51.365416	50.474199	49.319245	57.357233	52.637925	56.711143	53.575024	48.42638	36.734447	39.4544	34.642731	37.835671	41.183759	35.105401	31.786569	22.200742	30.58579	29.032376	42.198318	38.937359	34.605988	32.630513	31.663981	29.69297	35.660405	29.917787	29.912024	36.217728	28.579857	32.547664	29.854067	45.155115	44.9034	38.314283	37.089874	39.330786	50.535583	36.66326	36.89711	42.23253	32.328589	36.827374	37.165483	45.175266	51.488769	34.818627	32.981746	71.863812	46.072903	35.262785	44.720543	77.054279	46.099651	43.648362	48.041563	91.40819	94.668826	78.352477	61.670905	80.395399	101.80739	49.561888	73.216609	69.28786	70.894266	66.276122	79.752752	36.109943	37.856349	38.518949	35.506185	37.981106	36.315669	38.364838	41.705632	45.065964	67.308953	43.337688	43.482135
